DataZone,IntZone,CP_Name,CAName
S01007284,S02001370,"Oban, Lorn and the Isles",Argyll and Bute
S01007285,S02001370,"Oban, Lorn and the Isles",Argyll and Bute
S01007286,S02001370,"Oban, Lorn and the Isles",Argyll and Bute
S01007287,S02001370,"Oban, Lorn and the Isles",Argyll and Bute
S01007288,S02001370,"Oban, Lorn and the Isles",Argyll and Bute
S01007289,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007290,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007291,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007292,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007293,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007294,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007295,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007296,S02001371,"Oban, Lorn and the Isles",Argyll and Bute
S01007297,S02001372,"Oban, Lorn and the Isles",Argyll and Bute
S01007298,S02001372,"Oban, Lorn and the Isles",Argyll and Bute
S01007299,S02001372,"Oban, Lorn and the Isles",Argyll and Bute
S01007300,S02001372,"Oban, Lorn and the Isles",Argyll and Bute
S01007301,S02001373,"Oban, Lorn and the Isles",Argyll and Bute
S01007302,S02001373,"Oban, Lorn and the Isles",Argyll and Bute
S01007303,S02001373,"Oban, Lorn and the Isles",Argyll and Bute
S01007304,S02001373,"Oban, Lorn and the Isles",Argyll and Bute
S01007305,S02001373,"Oban, Lorn and the Isles",Argyll and Bute
S01007306,S02001373,"Oban, Lorn and the Isles",Argyll and Bute
S01007307,S02001373,"Oban, Lorn and the Isles",Argyll and Bute
S01007308,S02001374,"Oban, Lorn and the Isles",Argyll and Bute
S01007309,S02001374,"Oban, Lorn and the Isles",Argyll and Bute
S01007310,S02001374,"Oban, Lorn and the Isles",Argyll and Bute
S01007311,S02001375,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007312,S02001375,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007313,S02001375,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007314,S02001375,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007315,S02001376,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007316,S02001376,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007317,S02001376,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007318,S02001376,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007319,S02001376,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007320,S02001377,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007321,S02001377,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007322,S02001377,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007323,S02001377,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007324,S02001378,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007325,S02001378,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007326,S02001378,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007327,S02001378,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007328,S02001378,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007329,S02001379,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007330,S02001379,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007331,S02001379,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007332,S02001379,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007333,S02001380,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007334,S02001380,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007335,S02001380,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007336,S02001380,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007337,S02001380,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007338,S02001380,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007339,S02001380,"Mid-Argyll, Kintyre and Islay",Argyll and Bute
S01007340,S02001381,Bute and Cowal,Argyll and Bute
S01007341,S02001381,Bute and Cowal,Argyll and Bute
S01007342,S02001381,Bute and Cowal,Argyll and Bute
S01007343,S02001381,Bute and Cowal,Argyll and Bute
S01007344,S02001382,Bute and Cowal,Argyll and Bute
S01007345,S02001382,Bute and Cowal,Argyll and Bute
S01007346,S02001382,Bute and Cowal,Argyll and Bute
S01007347,S02001382,Bute and Cowal,Argyll and Bute
S01007348,S02001382,Bute and Cowal,Argyll and Bute
S01007349,S02001382,Bute and Cowal,Argyll and Bute
S01007350,S02001382,Bute and Cowal,Argyll and Bute
S01007351,S02001383,Bute and Cowal,Argyll and Bute
S01007352,S02001383,Bute and Cowal,Argyll and Bute
S01007353,S02001383,Bute and Cowal,Argyll and Bute
S01007354,S02001383,Bute and Cowal,Argyll and Bute
S01007355,S02001384,Bute and Cowal,Argyll and Bute
S01007356,S02001384,Bute and Cowal,Argyll and Bute
S01007357,S02001384,Bute and Cowal,Argyll and Bute
S01007358,S02001384,Bute and Cowal,Argyll and Bute
S01007359,S02001385,Bute and Cowal,Argyll and Bute
S01007360,S02001385,Bute and Cowal,Argyll and Bute
S01007361,S02001385,Bute and Cowal,Argyll and Bute
S01007362,S02001385,Bute and Cowal,Argyll and Bute
S01007363,S02001385,Bute and Cowal,Argyll and Bute
S01007364,S02001385,Bute and Cowal,Argyll and Bute
S01007365,S02001385,Bute and Cowal,Argyll and Bute
S01007366,S02001386,Bute and Cowal,Argyll and Bute
S01007367,S02001386,Bute and Cowal,Argyll and Bute
S01007368,S02001386,Bute and Cowal,Argyll and Bute
S01007369,S02001386,Bute and Cowal,Argyll and Bute
S01007370,S02001386,Bute and Cowal,Argyll and Bute
S01007371,S02001386,Bute and Cowal,Argyll and Bute
S01007372,S02001386,Bute and Cowal,Argyll and Bute
S01007373,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007374,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007375,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007376,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007377,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007378,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007379,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007380,S02001387,Helensburgh and Lomond,Argyll and Bute
S01007381,S02001388,Helensburgh and Lomond,Argyll and Bute
S01007382,S02001388,Helensburgh and Lomond,Argyll and Bute
S01007383,S02001388,Helensburgh and Lomond,Argyll and Bute
S01007384,S02001388,Helensburgh and Lomond,Argyll and Bute
S01007385,S02001388,Helensburgh and Lomond,Argyll and Bute
S01007386,S02001388,Helensburgh and Lomond,Argyll and Bute
S01007387,S02001389,Helensburgh and Lomond,Argyll and Bute
S01007388,S02001389,Helensburgh and Lomond,Argyll and Bute
S01007389,S02001389,Helensburgh and Lomond,Argyll and Bute
S01007390,S02001389,Helensburgh and Lomond,Argyll and Bute
S01007391,S02001389,Helensburgh and Lomond,Argyll and Bute
S01007392,S02001389,Helensburgh and Lomond,Argyll and Bute
S01007393,S02001389,Helensburgh and Lomond,Argyll and Bute
S01007394,S02001390,Helensburgh and Lomond,Argyll and Bute
S01007395,S02001390,Helensburgh and Lomond,Argyll and Bute
S01007396,S02001390,Helensburgh and Lomond,Argyll and Bute
S01007397,S02001390,Helensburgh and Lomond,Argyll and Bute
S01007398,S02001391,Helensburgh and Lomond,Argyll and Bute
S01007399,S02001391,Helensburgh and Lomond,Argyll and Bute
S01007400,S02001391,Helensburgh and Lomond,Argyll and Bute
S01007401,S02001391,Helensburgh and Lomond,Argyll and Bute
S01007402,S02001391,Helensburgh and Lomond,Argyll and Bute
S01007403,S02001391,Helensburgh and Lomond,Argyll and Bute
S01007404,S02001392,Helensburgh and Lomond,Argyll and Bute
S01007405,S02001392,Helensburgh and Lomond,Argyll and Bute
S01007406,S02001392,Helensburgh and Lomond,Argyll and Bute
S01007407,S02001392,Helensburgh and Lomond,Argyll and Bute
S01007408,S02001392,Helensburgh and Lomond,Argyll and Bute
S01010504,S02001978,Lochaber,Highland
S01010505,S02001978,Lochaber,Highland
S01010506,S02001978,Lochaber,Highland
S01010507,S02001978,Lochaber,Highland
S01010508,S02001978,Lochaber,Highland
S01010509,S02001978,Lochaber,Highland
S01010510,S02001979,Lochaber,Highland
S01010511,S02001979,Lochaber,Highland
S01010512,S02001979,Lochaber,Highland
S01010513,S02001979,Lochaber,Highland
S01010514,S02001979,Lochaber,Highland
S01010515,S02001979,Lochaber,Highland
S01010516,S02001980,Lochaber,Highland
S01010517,S02001980,Lochaber,Highland
S01010518,S02001980,Lochaber,Highland
S01010519,S02001980,Lochaber,Highland
S01010520,S02001980,Lochaber,Highland
S01010521,S02001980,Lochaber,Highland
S01010522,S02001980,Lochaber,Highland
S01010523,S02001980,Lochaber,Highland
S01010524,S02001981,Lochaber,Highland
S01010525,S02001981,Lochaber,Highland
S01010526,S02001981,Lochaber,Highland
S01010527,S02001981,Lochaber,Highland
S01010528,S02001981,Lochaber,Highland
S01010529,S02001981,Lochaber,Highland
S01010530,S02001981,Lochaber,Highland
S01010531,S02001982,Badenoch and Strathspey,Highland
S01010532,S02001982,Badenoch and Strathspey,Highland
S01010533,S02001982,Badenoch and Strathspey,Highland
S01010534,S02001982,Badenoch and Strathspey,Highland
S01010535,S02001982,Badenoch and Strathspey,Highland
S01010536,S02001983,Badenoch and Strathspey,Highland
S01010537,S02001983,Badenoch and Strathspey,Highland
S01010538,S02001983,Badenoch and Strathspey,Highland
S01010539,S02001983,Badenoch and Strathspey,Highland
S01010540,S02001983,Badenoch and Strathspey,Highland
S01010541,S02001983,Badenoch and Strathspey,Highland
S01010542,S02001984,Badenoch and Strathspey,Highland
S01010543,S02001984,Badenoch and Strathspey,Highland
S01010544,S02001984,Badenoch and Strathspey,Highland
S01010545,S02001984,Badenoch and Strathspey,Highland
S01010546,S02001984,Badenoch and Strathspey,Highland
S01010547,S02001984,Badenoch and Strathspey,Highland
S01010548,S02001985,Nairn and Nairnshire,Highland
S01010549,S02001985,Nairn and Nairnshire,Highland
S01010550,S02001985,Nairn and Nairnshire,Highland
S01010551,S02001985,Nairn and Nairnshire,Highland
S01010552,S02001985,Nairn and Nairnshire,Highland
S01010553,S02001985,Nairn and Nairnshire,Highland
S01010554,S02001986,Nairn and Nairnshire,Highland
S01010555,S02001986,Nairn and Nairnshire,Highland
S01010556,S02001986,Nairn and Nairnshire,Highland
S01010557,S02001986,Nairn and Nairnshire,Highland
S01010558,S02001986,Nairn and Nairnshire,Highland
S01010559,S02001987,Nairn and Nairnshire,Highland
S01010560,S02001987,Nairn and Nairnshire,Highland
S01010561,S02001987,Nairn and Nairnshire,Highland
S01010562,S02001987,Nairn and Nairnshire,Highland
S01010563,S02001987,Nairn and Nairnshire,Highland
S01010564,S02001987,Nairn and Nairnshire,Highland
S01010565,S02001987,Nairn and Nairnshire,Highland
S01010566,S02001988,Inverness,Highland
S01010567,S02001988,Inverness,Highland
S01010568,S02001988,Inverness,Highland
S01010569,S02001988,Inverness,Highland
S01010570,S02001988,Inverness,Highland
S01010571,S02001989,Inverness,Highland
S01010572,S02001989,Inverness,Highland
S01010573,S02001989,Inverness,Highland
S01010574,S02001989,Inverness,Highland
S01010575,S02001989,Inverness,Highland
S01010576,S02001989,Inverness,Highland
S01010577,S02001990,Inverness,Highland
S01010578,S02001990,Inverness,Highland
S01010579,S02001990,Inverness,Highland
S01010580,S02001990,Inverness,Highland
S01010581,S02001990,Inverness,Highland
S01010582,S02001991,Inverness,Highland
S01010583,S02001991,Inverness,Highland
S01010584,S02001991,Inverness,Highland
S01010585,S02001991,Inverness,Highland
S01010586,S02001991,Inverness,Highland
S01010587,S02001991,Inverness,Highland
S01010588,S02001991,Inverness,Highland
S01010589,S02001991,Inverness,Highland
S01010590,S02001992,Inverness,Highland
S01010591,S02001992,Inverness,Highland
S01010592,S02001992,Inverness,Highland
S01010593,S02001992,Inverness,Highland
S01010594,S02001992,Inverness,Highland
S01010595,S02001992,Inverness,Highland
S01010596,S02001993,Inverness,Highland
S01010597,S02001993,Inverness,Highland
S01010598,S02001993,Inverness,Highland
S01010599,S02001994,Inverness,Highland
S01010600,S02001994,Inverness,Highland
S01010601,S02001994,Inverness,Highland
S01010602,S02001994,Inverness,Highland
S01010603,S02001994,Inverness,Highland
S01010604,S02001994,Inverness,Highland
S01010605,S02001994,Inverness,Highland
S01010606,S02001995,Inverness,Highland
S01010607,S02001995,Inverness,Highland
S01010608,S02001995,Inverness,Highland
S01010609,S02001995,Inverness,Highland
S01010610,S02001995,Inverness,Highland
S01010611,S02001996,Inverness,Highland
S01010612,S02001996,Inverness,Highland
S01010613,S02001996,Inverness,Highland
S01010614,S02001996,Inverness,Highland
S01010615,S02001996,Inverness,Highland
S01010616,S02001997,Inverness,Highland
S01010617,S02001997,Inverness,Highland
