Data zone code,Data zone name,population
S01010504,Lochaber West - 01,597
S01010505,Lochaber West - 02,533
S01010506,Lochaber West - 03,935
S01010507,Lochaber West - 04,693
S01010508,Lochaber West - 05,1096
S01010509,Lochaber West - 06,964
S01010510,Fort William North - 01,1000
S01010511,Fort William North - 02,828
S01010512,Fort William North - 03,607
S01010513,Fort William North - 04,744
S01010514,Fort William North - 05,648
S01010515,Fort William North - 06,710
S01010516,Fort William South - 01,632
S01010517,Fort William South - 02,760
S01010518,Fort William South - 03,599
S01010519,Fort William South - 04,737
S01010520,Fort William South - 05,843
S01010521,Fort William South - 06,772
S01010522,Fort William South - 07,759
S01010523,Fort William South - 08,647
S01010524,Lochaber East and North - 01,543
S01010525,Lochaber East and North - 02,624
S01010526,Lochaber East and North - 03,856
S01010527,Lochaber East and North - 04,885
S01010528,Lochaber East and North - 05,674
S01010529,Lochaber East and North - 06,744
S01010530,Lochaber East and North - 07,635
S01010531,Badenoch and Strathspey South - 01,1125
S01010532,Badenoch and Strathspey South - 02,418
S01010533,Badenoch and Strathspey South - 03,560
S01010534,Badenoch and Strathspey South - 04,826
S01010535,Badenoch and Strathspey South - 05,650
S01010536,Badenoch and Strathspey Central - 01,668
S01010537,Badenoch and Strathspey Central - 02,616
S01010538,Badenoch and Strathspey Central - 03,974
S01010539,Badenoch and Strathspey Central - 04,954
S01010540,Badenoch and Strathspey Central - 05,527
S01010541,Badenoch and Strathspey Central - 06,919
S01010542,Badenoch and Strathspey North - 01,860
S01010543,Badenoch and Strathspey North - 02,548
S01010544,Badenoch and Strathspey North - 03,841
S01010545,Badenoch and Strathspey North - 04,764
S01010546,Badenoch and Strathspey North - 05,704
S01010547,Badenoch and Strathspey North - 06,775
S01010548,Nairn Rural - 01,724
S01010549,Nairn Rural - 02,1794
S01010550,Nairn Rural - 03,515
S01010551,Nairn Rural - 04,798
S01010552,Nairn Rural - 05,698
S01010553,Nairn Rural - 06,587
S01010554,Nairn East - 01,603
S01010555,Nairn East - 02,727
S01010556,Nairn East - 03,913
S01010557,Nairn East - 04,537
S01010558,Nairn East - 05,792
S01010559,Nairn West - 01,795
S01010560,Nairn West - 02,587
S01010561,Nairn West - 03,652
S01010562,Nairn West - 04,692
S01010563,Nairn West - 05,502
S01010564,Nairn West - 06,443
S01010565,Nairn West - 07,568
S01010566,Inverness East Rural - 01,1250
S01010567,Inverness East Rural - 02,1151
S01010568,Inverness East Rural - 03,1733
S01010569,Inverness East Rural - 04,1197
S01010570,Inverness East Rural - 05,942
S01010571,Inverness Culloden and Balloch - 01,693
S01010572,Inverness Culloden and Balloch - 02,659
S01010573,Inverness Culloden and Balloch - 03,485
S01010574,Inverness Culloden and Balloch - 04,538
S01010575,Inverness Culloden and Balloch - 05,677
S01010576,Inverness Culloden and Balloch - 06,797
S01010577,Inverness Smithton - 01,741
S01010578,Inverness Smithton - 02,502
S01010579,Inverness Smithton - 03,649
S01010580,Inverness Smithton - 04,630
S01010581,Inverness Smithton - 05,440
S01010582,Inverness Westhill - 01,1849
S01010583,Inverness Westhill - 02,867
S01010584,Inverness Westhill - 03,961
S01010585,Inverness Westhill - 04,877
S01010586,Inverness Westhill - 05,742
S01010587,Inverness Westhill - 06,624
S01010588,Inverness Westhill - 07,603
S01010589,Inverness Westhill - 08,464
S01010590,Inverness Inshes - 01,825
S01010591,Inverness Inshes - 02,1440
S01010592,Inverness Inshes - 03,431
S01010593,Inverness Inshes - 04,1826
S01010594,Inverness Inshes - 05,621
S01010595,Inverness Inshes - 06,760
S01010596,Inverness Slackbuie - 01,1890
S01010597,Inverness Slackbuie - 02,813
S01010598,Inverness Slackbuie - 03,970
S01010599,Inverness Lochardil and Holm Mains - 01,1991
S01010600,Inverness Lochardil and Holm Mains - 02,1148
S01010601,Inverness Lochardil and Holm Mains - 03,643
S01010602,Inverness Lochardil and Holm Mains - 04,487
S01010603,Inverness Lochardil and Holm Mains - 05,740
S01010604,Inverness Lochardil and Holm Mains - 06,442
S01010605,Inverness Lochardil and Holm Mains - 07,1043
S01010606,Inverness Drummond - 01,785
S01010607,Inverness Drummond - 02,701
S01010608,Inverness Drummond - 03,626
S01010609,Inverness Drummond - 04,525
S01010610,Inverness Drummond - 05,683
S01010611,Inverness Hilton - 01,852
S01010612,Inverness Hilton - 02,693
S01010613,Inverness Hilton - 03,651
S01010614,Inverness Hilton - 04,612
S01010615,Inverness Hilton - 05,729
S01010616,Inverness Drakies - 01,747
S01010617,Inverness Drakies - 02,809
S01010618,Inverness Drakies - 03,673
S01010619,"Inverness Central, Raigmore and Longman - 01",584
S01010620,"Inverness Central, Raigmore and Longman - 02",621
S01010621,"Inverness Central, Raigmore and Longman - 03",842
S01010622,"Inverness Central, Raigmore and Longman - 04",585
S01010623,"Inverness Central, Raigmore and Longman - 05",860
S01010624,"Inverness Central, Raigmore and Longman - 06",670
S01010625,Inverness Crown and Haugh - 01,681
S01010626,Inverness Crown and Haugh - 02,936
S01010627,Inverness Crown and Haugh - 03,745
S01010628,Inverness Crown and Haugh - 04,874
S01010629,Inverness Crown and Haugh - 05,958
